Industry,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
Corporate profits with inventory valuation adjustment,3198.2,3468.5,3541.4,3498.8,3502.8,3513.6,3620.1,3760.7,---
Domestic industries,2775.5,2990.0,3051.1,2998.9,3010.8,2999.5,3097.2,3246.7,---
Financial,615.9,602.7,610.8,564.8,591.7,537.0,546.1,552.6,---
Federal Reserve banks,135.3,122.2,33.4,-69.7,-125.0,-159.8,-164.4,-126.0,---
Other financial2,480.6,480.5,577.5,634.5,716.7,696.7,710.5,678.6,---
Nonfinancial,2159.6,2387.3,2440.2,2434.1,2419.2,2462.5,2551.1,2694.0,---
Utilities,38.4,41.0,49.7,41.2,42.7,49.7,45.0,42.6,---
Manufacturing,647.7,709.8,719.6,757.6,739.0,711.4,743.9,780.8,---
Durable goods,309.9,334.4,337.4,375.3,362.8,371.0,399.9,424.9,---
Fabricated metal products,23.8,28.6,31.5,40.1,41.6,38.2,41.7,45.0,---
Machinery,37.6,41.8,43.8,61.2,59.0,60.2,58.7,67.0,---
Computer and electronic products,154.2,151.8,142.4,136.0,130.2,139.0,146.2,161.7,---
"Electrical equipment, appliances, and components",-2.1,-0.5,0.6,3.0,2.0,1.9,2.9,2.6,---
"Motor vehicles, bodies and trailers, and parts",-5.9,-0.7,1.1,10.8,11.5,9.4,12.0,12.3,---
Other durable goods3,102.3,113.4,117.9,124.2,118.5,122.1,138.3,136.3,---
Nondurable goods,337.9,375.4,382.2,382.2,376.2,340.4,344.0,355.9,---
Food and beverage and tobacco products,64.2,61.1,67.2,66.4,84.4,78.0,76.2,80.2,---
Petroleum and coal products,67.8,115.0,118.6,113.1,102.1,76.0,84.8,83.5,---
Chemical products,155.7,150.2,150.4,158.0,144.1,142.8,135.9,146.9,---
Other nondurable goods4,50.1,49.2,46.0,44.7,45.6,43.5,47.2,45.3,---
Wholesale trade,173.7,196.7,268.5,265.5,233.4,227.8,233.5,252.4,---
Retail trade,260.9,291.5,286.6,301.6,315.1,353.3,374.3,393.9,---
Transportation and warehousing,80.1,116.1,112.5,103.1,111.2,126.8,116.5,123.9,---
Information,163.9,164.5,167.1,175.3,172.4,187.7,193.3,200.6,---
Other nonfinancial5,794.8,867.7,836.3,789.7,805.4,805.9,844.6,899.8,---
